ImageBot	fetchImage	mysql:products	0.0176	QPS: 0.0127
mq/request.php	_delete	mysql:shops_stats	0.0005	QPS: 0.0004
sphinx:parameters	getDatabaseCount	Parameters	0.0001	QPS: 0.0001
mysql:products	getLastChanges	StatsController	0.0001	QPS: 0.0001
mq/request.php	_update	mysql:products	1.0000	QPS: 0.7251
mysql:parameters	newFromTop	Parameters	0.0010	QPS: 0.0007
mysql:products	_describe	mq/request.php	0.0004	QPS: 0.0003
mq/request.php	_insert	mysql:products	0.0237	QPS: 0.0172
mysql:products	getImagesToFetch	ImageBot	0.0009	QPS: 0.0006
mysql:datasheets	newFromIds	Elecena\Models\Datasheet	0.0290	QPS: 0.0211
sphinx:parameters	getCategoriesTree	Parameters	0.0001	QPS: 0.0000
sphinx:products	getProductsForTags	Elecena\Services\Sphinx	0.0673	QPS: 0.0488
mysql:suggest	getSuggestions	Elecena\Services\Sphinx	0.0010	QPS: 0.0007
sphinx:products	getLastChanges	StatsController	0.0002	QPS: 0.0001
mysql:shops	_select	mq/request.php	0.0146	QPS: 0.0106
mysql:shops_stats	_describe	mq/request.php	0.0003	QPS: 0.0002
sphinx:parameters	getSuggestions	Parameters	0.0012	QPS: 0.0008
mysql:producers	_select	mq/request.php	0.0721	QPS: 0.0523
sphinx:products	products	Elecena\Services\Search	0.0112	QPS: 0.0081
sphinx:datasheets	onGetStats	DatasheetController	0.0001	QPS: 0.0001
mysql:products	newFromIds	Elecena\Models\Product	0.1986	QPS: 0.1440
sphinx:parameters	newFromCode	Parameters	0.0134	QPS: 0.0097
mysql:datasheets	getOtherCodes	Elecena\Models\Datasheet	0.0013	QPS: 0.0009
mq/request.php	_update	mysql:shops	0.0136	QPS: 0.0099
sphinx:products	getKeywords	Elecena\Services\Sphinx	0.0546	QPS: 0.0396
sphinx:shops	newFromQuery	Elecena\Models\Shop	0.0013	QPS: 0.0009
mysql:datasheets	checkIfExists	DatasheetsUpdateScript	0.0547	QPS: 0.0396
mysql:shops	newFromDB	Elecena\Models\Shop	0.0015	QPS: 0.0011
ShopsUpdateScript	run	mysql:shops	0.0026	QPS: 0.0019
mysql:shops	checkBotsQueue	Elecena\ElecenaHealthcheck	0.0042	QPS: 0.0031
sphinx:products	search	Elecena\Services\Sphinx	0.0039	QPS: 0.0028
mysql:products	run	ShopsUpdateScript	0.0088	QPS: 0.0064
mq/request.php	_insert	mysql:shops_stats	0.0033	QPS: 0.0024
sphinx:products	getSnippet	Elecena\Services\Sphinx	0.0029	QPS: 0.0021
sphinx:shops	newFromLocation	Elecena\Models\Shop	0.0004	QPS: 0.0003
mysql:products	_select	mq/request.php	0.0277	QPS: 0.0201
sphinx:products	getIndexCount	Elecena\Services\Sphinx	0.0001	QPS: 0.0000
mysql:products	getIdsBatch	ProductController	0.0428	QPS: 0.0310
sphinx:parameters	getSimilar	Parameters	0.0009	QPS: 0.0006
sphinx:products	rebuildStats	StatsController	0.0004	QPS: 0.0003
sphinx:parameters	getFromCategory	Parameters	0.0001	QPS: 0.0000
sphinx:datasheets	search	Elecena\Services\Sphinx	0.0853	QPS: 0.0618
